iter	Passed	Remaining
1111	98871	78954
1112	98956	78863
1113	99040	78770
1114	99122	78675
1115	99207	78584
1116	99292	78491
1117	99375	78398
1118	99467	78311
1119	99556	78222
1120	99643	78132
1121	99743	78052
1122	99823	77956
1123	99898	77857
1124	99990	77770
1125	100071	77675
1126	100156	77583
1127	100233	77485
1128	100320	77395
1129	100400	77299
1130	100488	77210
1131	100569	77115
1132	100652	77022
1133	100738	76931
1134	100823	76839
1135	100906	76745
1136	100994	76656
1137	101074	76560
1138	101157	76467
1139	101244	76377
1140	101323	76281
1141	101406	76188
1142	101490	76095
1143	101578	76006
1144	101670	75919
1145	101755	75828
1146	101835	75732
1147	101911	75635
1148	101998	75544
1149	102079	75450
1150	102164	75358
1151	102253	75270
1152	102334	75175
1153	102415	75081
1154	102502	74991
1155	102584	74897
1156	102665	74802
1157	102753	74713
1158	102837	74621
1159	102917	74526
1160	103001	74434
1161	103083	74340
1162	103163	74245
1163	103251	74156
1164	103337	74066
1165	103420	73973
1166	103508	73884
1167	103586	73787
1168	103665	73692
1169	103767	73612
1170	103848	73518
1171	103928	73423
1172	104015	73334
1173	104096	73240
1174	104176	73145
1175	104265	73057
1176	104343	72960
1177	104420	72864
1178	104510	72775
1179	104593	72683
1180	104676	72591
1181	104760	72499
1182	104841	72405
1183	104924	72312
1184	105011	72223
1185	105092	72129
1186	105173	72035
1187	105258	71944
1188	105344	71853
1189	105419	71755
1190	105505	71665
1191	105597	71579
1192	105680	71487
1193	105767	71397
1194	105853	71307
1195	105934	71213
1196	106017	71120
1197	106099	71028
1198	106184	70937
1199	106275	70850
1200	106364	70762
1201	106449	70671
1202	106539	70583
1203	106625	70493
1204	106706	70399
1205	106797	70313
1206	106884	70223
1207	106962	70127
1208	107044	70034
1209	107124	69941
1210	107203	69846
1211	107294	69759
1212	107378	69667
1213	107457	69572
1214	107539	69480
1215	107626	69391
1216	107708	69298
1217	107797	69209
1218	107888	69122
1219	107967	69028
1220	108058	68941
1221	108143	68850
1222	108224	68757
1223	108314	68670
1224	108401	68580
1225	108476	68483
1226	108568	68397
1227	108649	68304
1228	108732	68212
1229	108812	68118
1230	108900	68029
1231	108982	67937
1232	109068	67846
1233	109150	67754
1234	109229	67660
1235	109322	67574
1236	109409	67485
1237	109497	67396
1238	109583	67306
1239	109668	67215
1240	109750	67123
1241	109839	67035
1242	109922	66943
1243	110009	66854
1244	110094	66764
1245	110177	66672
1246	110260	66580
1247	110352	66494
1248	110437	66404
1249	110521	66313
1250	110606	66222
1251	110684	66127
1252	110765	66035
1253	110849	65944
1254	110929	65850
1255	111016	65761
1256	111100	65670
1257	111182	65578
1258	111268	65488
1259	111353	65397
1260	111436	65306
1261	111523	65217
1262	111612	65129
1263	111697	65039
1264	111779	64946
1265	111865	64857
1266	111947	64764
1267	112027	64672
1268	112117	64584
1269	112200	64493
1270	112285	64402
1271	112375	64315
1272	112459	64224
